"","X2018_6_1_plate","X2018_6_1_plate.1","X2018_6_1_plate.2","X2018_6_1_plate.3","X2018_6_1_plate.4","X2018_6_1_plate.5","X2018_6_1_plate.6","X2018_6_1_plate.7","X2018_6_1_plate.8","X2018_6_1_plate.9","X2018_6_1_plate.10","X2018_6_1_plate.11","X2018_6_1_plate.12","X2018_6_1_plate.13","X2018_6_1_plate.14","X2018_6_1_plate.15","X2018_6_1_plate.16","X2018_6_1_plate.17","X2018_6_1_plate.18","X2018_6_1_plate.19","X2018_6_1_plate.20","X2018_6_1_plate.21","X2018_6_1_plate.22","X2018_6_1_plate.23","X2018_6_1_plate.24","X2018_6_1_plate.25","X2018_6_1_plate.26","X2018_6_1_plate.27","X2018_6_1_plate.28","X2018_6_1_plate.29","X2018_6_1_plate.30","X2018_6_1_plate.31","X2018_6_1_plate.32","X2018_6_1_plate.33","X2018_6_1_plate.34","X2018_6_1_plate.35","X2018_6_1_plate.36","X2018_6_1_plate.37","X2018_6_1_plate.38","X2018_6_1_plate.39","X2018_6_1_plate.40","X2018_6_1_plate.41","X2018_6_1_plate.42","X2018_6_1_plate.43","X2018_6_1_plate.44","X2018_6_1_plate.45","X2018_6_1_plate.46","X2018_6_1_plate.47","X2018_6_1_plate.48","X2018_6_1_plate.49","X2018_6_1_plate.50","X2018_6_1_plate.51","X2018_6_1_plate.52","X2018_6_1_plate.53","X2018_6_1_plate.54","X2018_6_1_plate.55","X2018_6_1_plate.56","X2018_6_1_plate.57","X2018_6_1_plate.58","X2018_6_1_plate.59","X2018_6_1_plate.60","X2018_6_1_plate.61","X2018_6_1_plate.62","X2018_6_1_plate.63","X2018_6_1_plate.64","X2018_6_1_plate.65","X2018_6_1_plate.66","X2018_6_1_plate.67","X2018_6_1_plate.68","X2018_6_1_plate.69","X2018_6_1_plate.70","X2018_6_1_plate.71","X2018_6_1_plate.72","X2018_6_1_plate.73","X2018_6_1_plate.74","X2018_6_1_plate.75","X2018_6_1_plate.76","X2018_6_1_plate.77","X2018_6_1_plate.78","X2018_6_1_plate.79","X2018_6_1_plate.80","X2018_6_1_plate.81","X2018_6_1_plate.82","X2018_6_1_plate.83","X2018_6_1_plate.84","X2018_6_1_plate.85","X2018_6_1_plate.86","X2018_6_1_plate.87","X2018_6_1_plate.88","X2018_6_1_plate.89","X2018_6_1_plate.90","X2018_6_1_plate.91","X2018_6_1_plate.92","X2018_6_1_plate.93","X2018_6_1_plate.94","X2018_6_1_plate.95","X2018_6_1_plate.96","X2018_6_1_plate.97","X2018_6_1_plate.98","X2018_6_1_plate.99","X2018_6_1_plate.100","X2018_6_1_plate.101","X2018_6_1_plate.102","X2018_6_1_plate.103","X2018_6_1_plate.104","X2018_6_1_plate.105","X2018_6_1_plate.106","X2018_6_1_plate.107","X2018_6_1_plate.108","X2018_6_1_plate.109","X2018_6_1_plate.110","X2018_6_1_plate.111","X2018_6_1_plate.112","X2018_6_1_plate.113","X2018_6_1_plate.114","X2018_6_1_plate.115","X2018_6_1_plate.116","X2018_6_1_plate.117","X2018_6_1_plate.118","X2018_6_1_plate.119","X2018_6_1_plate.120","X2018_6_1_plate.121","X2018_6_1_plate.122","X2018_6_1_plate.123","X2018_6_1_plate.124","X2018_6_1_plate.125","X2018_6_1_plate.126","X2018_6_1_plate.127","X2018_6_1_plate.128","X2018_6_1_plate.129","X2018_6_1_plate.130","X2018_6_1_plate.131","X2018_6_1_plate.132","X2018_6_1_plate.133","X2018_6_1_plate.134","X2018_6_1_plate.135","X2018_6_1_plate.136","X2018_6_1_plate.137","X2018_6_1_plate.138","X2018_6_1_plate.139","X2018_6_1_plate.140","X2018_6_1_plate.141","X2018_6_1_plate.142","X2018_6_1_plate.143","X2018_6_1_plate.144","X2018_6_1_plate.145","X2018_6_1_plate.146","X2018_6_1_plate.147","X2018_6_1_plate.148","X2018_6_1_plate.149","X2018_6_1_plate.150","X2018_6_1_plate.151","X2018_6_1_plate.152","X2018_6_1_plate.153","X2018_6_1_plate.154","X2018_6_1_plate.155","X2018_6_1_plate.156","X2018_6_1_plate.157","X2018_6_1_plate.158","X2018_6_1_plate.159","X2018_6_1_plate.160","X2018_6_1_plate.161","X2018_6_1_plate.162","X2018_6_1_plate.163","X2018_6_1_plate.164","X2018_6_1_plate.165","X2018_6_1_plate.166","X2018_6_1_plate.167","X2018_6_1_plate.168","X2018_6_1_plate.169","X2018_6_1_plate.170","X2018_6_1_plate.171","X2018_6_1_plate.172","X2018_6_1_plate.173","X2018_6_1_plate.174","X2018_6_1_plate.175","X2018_6_1_plate.176","X2018_6_1_plate.177","X2018_6_1_plate.178","X2018_6_1_plate.179","X2018_6_1_plate.180","X2018_6_1_plate.181","X2018_6_1_plate.182","X2018_6_1_plate.183","X2018_6_1_plate.184","X2018_6_1_plate.185","X2018_6_1_plate.186","X2018_6_1_plate.187","X2018_6_1_plate.188","X2018_6_1_plate.189","X2018_6_1_plate.190","X2018_6_1_plate.191","X2018_6_1_plate.192","X2018_6_1_plate.193","X2018_6_1_plate.194","X2018_6_1_plate.195","X2018_6_1_plate.196","X2018_6_1_plate.197","X2018_6_1_plate.198","X2018_6_1_plate.199","X2018_6_1_plate.200","X2018_6_1_plate.201","X2018_6_1_plate.202","X2018_6_1_plate.203","X2018_6_1_plate.204","X2018_6_1_plate.205","X2018_6_1_plate.206","X2018_6_1_plate.207","X2018_6_1_plate.208","X2018_6_1_plate.209","X2018_6_1_plate.210","X2018_6_1_plate.211","X2018_6_1_plate.212","X2018_6_1_plate.213","X2018_6_1_plate.214","X2018_6_1_plate.215","X2018_6_1_plate.216","X2018_6_1_plate.217","X2018_6_1_plate.218","X2018_6_1_plate.219","X2018_6_1_plate.220","X2018_6_1_plate.221","X2018_6_1_plate.222","X2018_6_1_plate.223","X2018_6_1_plate.224","X2018_6_1_plate.225","X2018_6_1_plate.226","X2018_6_1_plate.227","X2018_6_1_plate.228","X2018_6_1_plate.229","X2018_6_1_plate.230","X2018_6_1_plate.231","X2018_6_1_plate.232","X2018_6_1_plate.233","X2018_6_1_plate.234","X2018_6_1_plate.235","X2018_6_1_plate.236","X2018_6_1_plate.237","X2018_6_1_plate.238","X2018_6_1_plate.239","X2018_6_1_plate.240","X2018_6_1_plate.241","X2018_6_1_plate.242","X2018_6_1_plate.243","X2018_6_1_plate.244","X2018_6_1_plate.245","X2018_6_1_plate.246","X2018_6_1_plate.247","X2018_6_1_plate.248","X2018_6_1_plate.249","X2018_6_1_plate.250","X2018_6_1_plate.251","X2018_6_1_plate.252","X2018_6_1_plate.253","X2018_6_1_plate.254","X2018_6_1_plate.255","X2018_6_1_plate.256","X2018_6_1_plate.257","X2018_6_1_plate.258","X2018_6_1_plate.259","X2018_6_1_plate.260","X2018_6_1_plate.261","X2018_6_1_plate.262","X2018_6_1_plate.263","X2018_6_1_plate.264","X2018_6_1_plate.265","X2018_6_1_plate.266","X2018_6_1_plate.267","X2018_6_1_plate.268","X2018_6_1_plate.269","X2018_6_1_plate.270","X2018_6_1_plate.271","X2018_6_1_plate.272","X2018_6_1_plate.273","X2018_6_1_plate.274","X2018_6_1_plate.275"
"1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products"
"2","10_A_65","30_A_185","46_A_281","233_A_1653","162_A_941","170_A_989","206_A_1329","212_A_1401","231_A_1629","243_A_1793","221_A_1509","248_A_1833","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","10_A_65","30_A_185","46_A_281","233_A_1653","162_A_941","170_A_989","206_A_1329","212_A_1401","231_A_1629","243_A_1793","221_A_1509","248_A_1833","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","10_B_66","30_B_186","46_B_282","233_B_1654","162_B_942","170_B_990","206_B_1330","212_B_1402","231_B_1630","243_B_1794","221_B_1510","248_B_1834","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","10_B_66","30_B_186","46_B_282","233_B_1654","162_B_942","170_B_990","206_B_1330","212_B_1402","231_B_1630","243_B_1794","221_B_1510","248_B_1834","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","10_C_67","30_C_187","46_C_283","233_C_1655","162_C_943","170_C_991","206_C_1331","212_C_1403","231_C_1631","243_C_1795","221_C_1511","248_C_1835","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","10_C_67","30_C_187","46_C_283","233_C_1655","162_C_943","170_C_991","206_C_1331","212_C_1403","231_C_1631","243_C_1795","221_C_1511","248_C_1835","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","10_D_68","30_D_188","46_D_284","233_D_1656","162_D_944","170_D_992","212_D_1404","231_D_1632","243_D_1796","221_D_1512","248_D_1836","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","10_D_68","30_D_188","46_D_284","233_D_1656","162_D_944","170_D_992","212_D_1404","231_D_1632","243_D_1796","221_D_1512","248_D_1836","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","19_A_125","35_A_221","70_A_425","242_A_1761","166_A_965","201_A_1269","209_A_1365","214_A_1425","236_A_1689","245_A_1797","250_A_1857","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","19_A_125","35_A_221","70_A_425","242_A_1761","166_A_965","201_A_1269","209_A_1365","214_A_1425","236_A_1689","245_A_1797","250_A_1857","19_B_126","35_B_222","70_B_426","242_B_1762","166_B_966","201_B_1270","209_B_1366","214_B_1426","236_B_1690","245_B_1798","250_B_1858","19_B_126","35_B_222","70_B_426","242_B_1762","166_B_966","201_B_1270","209_B_1366","214_B_1426","236_B_1690","245_B_1798","250_B_1858","19_C_127","35_C_223","70_C_427","242_C_1763","166_C_967","201_C_1271","209_C_1367","214_C_1427","236_C_1691","245_C_1799","188_A_1197","250_C_1859","19_C_127","35_C_223","70_C_427","242_C_1763","166_C_967","201_C_1271","209_C_1367","214_C_1427","236_C_1691","245_C_1799","188_A_1197","250_C_1859","19_D_128","35_D_224","70_D_428","242_D_1764","166_D_968","201_D_1272","209_D_1368","214_D_1428","236_D_1692","245_D_1800","188_B_1198","250_D_1860","19_D_128","35_D_224","70_D_428","242_D_1764","166_D_968","201_D_1272","209_D_1368","214_D_1428","236_D_1692","245_D_1800","188_B_1198","250_D_1860","NTC","NTC","NTC","NTC","NTC","NTC","NTC","NTC","NTC"
"3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","100","100","100","100","100","100","100","100","100","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","50","50","50","50","50","50","50","50","50","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","10","10","10","10","10","10","10","10","10","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5","5","5","5","5","5","5","5","5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","1","1","1","1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"4","19.54","18.93","18.13","18.61","17.86","18.9","18.95","20.78","20.03","22.19","20.55","23.53","7.58","7.01","7.06","7.23","7.49","8.08","7.63","9.33","6.75","23.23","20.41","21.65","1","23.24","20.68","22.65","23.12","23.45","27.75","1","23.46","10.36","10.67","10.35","11.57","11.27","11.73","11.32","10.69","11.02","22.95","24.27","19.03","20.14","17.8","18.07","18.67","20.08","22","21","19.92","21.18","6.75","7.13","7.35","7.98","7.74","7.42","9.67","10.1","8.93","1","30.34","11.25","28.41","24.03","24.49","19.52","13.25","20.77","28.89","23.48","29.14","12.48","11.6","12.1","14.28","12.8","14.52","13.58","11.98","13.07","19.09","18.41","19.21","20.81","17.5","18.27","21.35","19.53","19.44","20.25","24.82","19.6","7.66","7.8","7.79","8.45","8.56","7.8","8.04","7.33","7.29","22.59","24.91","25.17","29.82","17.09","20.42","16.27","22.1","11.05","17.63","32.92","21.9","12.88","13.05","13.19","14.47","10.92","15.87","14.35","11.62","13.37","19.55","20.45","21.35","19.29","17.8","18.53","1","20.99","21.42","18.87","20","9","8.99","8.32","10.1","9.32","9.22","8.37","8.27","7.48","22.85","27.58","26.54","NA","21.54","21.39","11.86","1","25.7","1","25.73","13.64","13.84","14.21","16.6","13.59","18.5","16.34","15.84","16.8","21.44","22.43","25.7","19.23","19.41","22.46","18.53","22.82","20.93","27.83","21.67","10.96","10.8","10.84","12.25","11.49","10.79","9.95","11.14","8.97","23.58","26.51","22.06","22.47","1","22.19","11.47","12.49","18.51","13.78","1","19.55","18.41","18.65","19.22","19.8","19.16","18.4","18.37","20.19","20.9","24.32","23.99","1","13.95","23.75","12.92","22.55","11.66","15.55","3.36","26.82","26.51","18.9","18.38","18.35","18.52","19.1","21.13","18.65","19.83","21.36","22.4","20","23.03","23.76","22.64","15.66","22.46","22.49","1","23.54","23.63","19.99","1","21.93","30.8","21.67","20.55","24.81","23.45","20.62","20.42","22.23","23.29","23.5","27.3","22.71","28.66","23.3","22.65","12.59","26.22","1","24.52","11.13","22.93","26.6","31.3","28.77","1","1","36.35","36.19","36.85","1","1","NA","NA","35.86"
"5","18.65","17.72","16.03","17.73","16.86","17.99","18.09","19.97","18.97","21.08","19.82","22.43","3.99","3.37","3.43","3.71","3.88","4.32","3.58","5.5","2.61","20.84","16.72","18.16","1","21.75","19.11","20.75","20.6","19.49","23.72","1","23.02","7.52","7.89","7.42","8.99","8.71","9.11","8.78","7.91","8.26","21.96","22.77","17.66","18.87","16.74","17.17","17.65","19.21","20.85","20.02","18.88","20.35","2.01","2.45","2.74","3.48","3.24","2.44","5.28","5.72","4.77","1","28.53","7.59","15.61","22.09","22.64","17.74","8.02","17.94","27.39","21.5","25.23","10.01","8.89","9.55","12.03","10.14","12.28","11.29","9.36","10.82","18.11","17.22","17.31","19.96","15.83","17.37","20.24","18.73","18.5","19.03","23.25","18.52","4.44","4.63","4.58","5.28","5.43","4.37","4.77","3.99","3.8","20.74","22.9","22.4","28.97","11.75","18.52","11.37","20.49","6.59","14.49","31.15","18.53","10.56","10.79","10.96","12.05","8.02","13.7","12.02","8.79","11.02","18.49","19.6","19.97","17.96","16.58","17.55","1","19.95","20.53","17.88","18.63","5.01","5.03","4.21","6.42","5.42","5.27","4.24","4.09","3.17","21.94","26.37","1","NA","19.72","19.82","7.4","1","24.28","1","24.6","10.95","11.4","11.45","14.35","10.85","17.09","13.95","13.44","14.9","20.45","21.15","23.87","17.94","18.06","21.73","17.51","21.64","19.28","27.24","20.11","8.29","8.08","8.2","9.85","8.96","8.01","7.13","8.53","5.9","21.31","23.9","21.35","21.92","1","20.45","8.05","6.36","15.58","6.61","1","18.68","16.89","16.83","18.08","18.26","17.94","17.37","17.34","18.85","19.59","22.71","22.95","1","6.63","21.8","8.53","21.87","7.53","11.31","1.86","25.8","24.64","17.92","17.26","16.52","17.22","17.86","19.52","17.57","18.68","19.93","21.23","18.76","21.6","22.25","21.74","5.76","21.7","20.95","45","23.07","21.66","17.64","1","20.53","29.38","20.74","19.7","22.84","22.07","19.16","19.32","21.01","22.22","22.34","26.59","21.49","27.99","21.64","21.67","1","23.75","1","22.55","5.03","20.09","24.41","30.66","27.81","1","1","34.85","35.05","35.54","1","45","NA","NA","34.68"
