"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","exp.adjust","exp.adjustTest1","stress"
"86","402",31560,38690,-0.838374001999077,-0.399773869048083,"August",1582.13446677614,33142.1344667761,5547.86553322386
"87","403",31350,38150,-1.02758549681585,-1.32298012175532,"August",1221.55200823338,32571.5520082334,5578.44799176662
"88","404",32000,38990,-0.441930870002016,0.113118493567057,"August",1789.41667940815,33789.4166794081,5200.58332059185
"89","41",32360,39170,-0.117568307458968,0.420853911136136,"August",1849.80731091417,34209.8073109142,4960.19268908582
"90","413",31330,38780,-1.04560563917936,-0.245906160263537,"August",1607.1878474248,32937.1878474248,5842.81215257519
"91","414",30800,38560,-1.52313941181218,-0.622027226181299,"August",1448.38724735303,32248.387247353,6311.61275264697
"92","415",30680,38510,-1.63126026599319,-0.707509286617161,"August",1286.96659189748,31966.9665918975,6543.03340810252
"93","416",31550,38740,-0.847384073180826,-0.31429180861222,"August",1623.95351142725,33173.9535114272,5566.04648857276
"94","42",36900,40000,3.97300400905614,1.83985611437133,"August",2061.66666666667,38961.6666666667,1038.33333333334
"95","43",32330,38500,-0.144598521004223,-0.724605698704329,"August",1602.2202569715,33932.2202569715,4567.7797430285
"96","438",32130,38900,-0.324799944639246,-0.0407492152174887,"August",1743.12085483348,33873.1208548335,5026.87914516651
"97","44",32060,38160,-0.387870442911506,-1.30588370966815,"August",1338.10690057415,33398.1069005742,4761.89309942585
"98","440",32000,39040,-0.441930870002016,0.198600554002907,"August",1805.81804341841,33805.8180434184,5234.18195658159
"99","449",31460,38910,-0.928474713816588,-0.023652803130321,"August",1658.89257997529,33118.8925799753,5791.10742002472
"100","450",31340,38080,-1.03659556799761,-1.44265500636552,"August",1206.116069165,32546.116069165,5533.883930835
"101","451",31790,38150,-0.631142364818795,-1.32298012175532,"August",1238.89751368951,33028.8975136895,5121.1024863105
"102","452",32740,38850,0.224814397447586,-0.126231275653339,"August",1807.69545392681,34547.6954539268,4302.30454607318
"103","461",30560,37840,-1.73938112017421,-1.85296889645761,"August",998.339196454046,31558.339196454,6281.66080354595
"104","462",31300,38240,-1.07263585272461,-1.16911241297077,"August",1227.59504962874,32527.5950496287,5712.40495037126
"105","463",32050,38700,-0.396880514093262,-0.382677456960903,"August",1655.86644512259,33705.8664451226,4994.13355487741
"106","464",31980,38830,-0.459951012365518,-0.160424099827687,"August",1665.62577412144,33645.6257741214,5184.37422587856
"107","473",32440,38230,-0.0454877380049587,-1.18620882505795,"August",1523.54703011473,33963.5470301147,4266.45296988528
"108","474",31540,38710,-0.856394144362579,-0.365581044873735,"August",1595.76420704848,33135.7642070485,5574.23579295152
"109","475",30880,38070,-1.45105884235817,-1.45975141845268,"August",1041.87401749954,31921.8740174995,6148.12598250046
"110","476",31520,38580,-0.874414286726081,-0.587834402006963,"August",1529.36799116106,33049.3679911611,5530.63200883894
"111","485",32140,39140,-0.315789873457497,0.36956467487462,"August",1817.0364742442,33957.0364742442,5182.9635257558
"112","486",31640,38200,-0.766293432545064,-1.23749806131946,"August",1243.12391409567,32883.1239140957,5316.87608590433
"113","487",31330,38350,-1.04560563917936,-0.981051880011893,"August",1317.63936756722,32647.6393675672,5702.36063243278
"114","488",32620,39240,0.116693543266565,0.540528795746334,"August",1883.71237567884,34503.7123756788,4736.28762432116
"115","497",31890,38520,-0.54104165300128,-0.690412874529982,"August",1535.73006576305,33425.730065763,5094.26993423695
"116","53",32900,39240,0.368975536355604,0.540528795746334,"August",1883.65589340985,34783.6558934099,4456.34410659015
"117","54",32970,38950,0.432046034627864,0.044732845218374,"August",1825.82008622219,34795.8200862222,4154.17991377781
"118","55",32780,39140,0.26085468217459,0.36956467487462,"August",1879.56549982132,34659.5654998213,4480.43450017867
"119","56",32680,39150,0.170753970357075,0.386661086961788,"August",1876.46640588168,34556.4664058817,4593.53359411832
"120","6",31490,38530,-0.901444500271336,-0.673316462442814,"August",1526.14251177712,33016.1425117771,5513.85748822288
"121","7",31640,38410,-0.766293432545064,-0.878473407488874,"August",1516.65285719995,33156.6528571999,5253.34714280006
"122","716",33400,40000,0.819479095443172,1.83985611437133,"August",2061.3343728809,35461.3343728809,4538.6656271191
"123","725",32540,38390,0.0446129738125561,-0.91266623166321,"August",1556.99478475891,34096.9947847589,4293.00521524109
"124","726",32320,39460,-0.153608592185973,0.916649861664095,"August",1879.25167395597,34199.251673956,5260.74832604403
"125","727",32400,40000,-0.0815280227319634,1.83985611437133,"August",1993.53948782814,34393.5394878281,5606.46051217186
"126","728",33680,38870,1.07176108853221,-0.0920384514790038,"August",1875.21984918538,35555.2198491854,3314.78015081462
"127","737",32420,39150,-0.0635078803684579,0.386661086961788,"August",1847.95080835271,34267.9508083527,4882.0491916473
"128","738",35850,40000,3.02694653497226,1.83985611437133,"August",2061.66666666531,37911.6666666653,2088.3333333347
"129","739",32250,38320,-0.216679090458232,-1.03234111627341,"August",1526.07959410459,33776.0795941046,4543.92040589541
"130","740",32770,39950,0.251844610992841,1.75437405393548,"August",2007.81652336623,34777.8165233662,5172.18347663376
"131","749",32300,38510,-0.171628734549478,-0.707509286617161,"August",1603.84496236118,33903.8449623612,4606.15503763883
"132","750",33280,40000,0.711358241262158,1.83985611437133,"August",2060.81684031259,35340.8168403126,4659.1831596874
"133","751",32170,38740,-0.288759659912242,-0.31429180861222,"August",1660.56657477385,33830.5665747738,4909.43342522615
"134","752",32010,39810,-0.432920798820267,1.51502428471508,"August",1866.19656712718,33876.1965671272,5933.80343287282
"135","761",32640,39350,0.134713685630071,0.728589328705214,"August",1881.5846202353,34521.5846202353,4828.4153797647
"136","762",33340,38410,0.765418668352668,-0.878473407488874,"August",1659.8993023318,34999.8993023318,3410.1006976682
"137","763",32920,39370,0.38699567871911,0.76278215287955,"August",1866.34903329115,34786.3490332912,4583.65096670885
"138","764",32130,38650,-0.324799944639246,-0.468159517396765,"August",1652.39705620013,33782.3970562001,4867.60294379987
"139","773",32330,39370,-0.144598521004223,0.76278215287955,"August",1884.14413937581,34214.1441393758,5155.85586062419
"140","774",32360,39950,-0.117568307458968,1.75437405393548,"August",1987.1020598251,34347.1020598251,5602.8979401749
"141","775",33620,40000,1.0177006614417,1.83985611437133,"August",2061.60780440788,35681.6078044079,4318.39219559213
"142","776",33180,39420,0.621257529444643,0.848264213315412,"August",1859.8215833377,35039.8215833377,4380.1784166623
"143","78",33260,38400,0.693338098898652,-0.895569819576042,"August",1658.02430160959,34918.0243016096,3481.97569839041
"144","785",33710,40000,1.09879130207747,1.83985611437133,"August",2061.6377037228,35771.6377037228,4228.3622962772
"145","786",32420,38990,-0.0635078803684579,0.113118493567057,"August",1811.44127661168,34231.4412766117,4758.55872338833
"146","787",34880,40000,2.15296963034238,1.83985611437133,"August",2061.66666381047,36941.6666638105,3058.33333618953
"147","788",31700,38240,-0.712233005454557,-1.16911241297077,"August",1302.68974258004,33002.68974258,5237.31025741997
"148","79",32170,37670,-0.288759659912242,-2.14360790193952,"August",1011.93980805787,33181.9398080579,4488.06019194212
"149","797",32850,39180,0.32392518044685,0.437950323223303,"August",1883.79709309561,34733.7970930956,4446.20290690439
"150","798",32400,39790,-0.0815280227319634,1.48083146054074,"August",1915.29749731553,34315.2974973155,5474.70250268447
"151","799",32470,38770,-0.0184575244597037,-0.263002572350705,"August",1704.56149023998,34174.56149024,4595.43850976002
"152","8",31420,38720,-0.964514998543593,-0.348484632786567,"August",1574.53530139389,32994.5353013939,5725.46469860611
"153","80",32700,38250,0.188774112720581,-1.15201600088361,"August",1528.87690441062,34228.8769044106,4021.12309558938
"154","800",32580,38550,0.0806532585395607,-0.639123638268479,"August",1655.45330556294,34235.4533055629,4314.54669443706
"155","809",32580,39760,0.0806532585395607,1.42954222427922,"August",1933.31098244776,34513.3109824478,5246.68901755224
"156","810",33090,39100,0.540166888808884,0.301179026525938,"August",1883.33427215823,34973.3342721582,4126.66572784176
"157","811",32450,40000,-0.0364776668232028,1.83985611437133,"August",1996.08214080208,34446.0821408021,5553.91785919792
"158","812",33490,38800,0.900569736078937,-0.211713336089202,"August",1823.58427170751,35313.5842717075,3486.41572829249
"159","821",32320,38380,-0.153608592185973,-0.929762643750377,"August",1531.57329881893,33851.5732988189,4528.42670118107
"160","822",32790,39240,0.26986475335634,0.540528795746334,"August",1884.17117375809,34674.1711737581,4565.82882624191
"161","823",33070,38700,0.522146746445379,-0.382677456960903,"August",1791.40605184444,34861.4060518444,3838.59394815556
"162","824",32080,38470,-0.369850300548007,-0.775894934965844,"August",1536.27635236681,33616.2763523668,4853.72364763319
"163","833",31680,37940,-0.73025314781806,-1.68200477558591,"August",1169.11430021111,32849.1143002111,5090.88569978889
"164","834",32960,38900,0.423035963446114,-0.0407492152174887,"August",1815.16419372573,34775.1641937257,4124.83580627426
"165","835",32010,38200,-0.432920798820267,-1.23749806131946,"August",1394.46161134577,33404.4616113458,4795.53838865423
"166","836",31750,37910,-0.6671826495458,-1.73329401184743,"August",1155.37467251134,32905.3746725113,5004.62532748865
"167","845",31860,38280,-0.568071866546536,-1.10072676462209,"August",1465.3463544687,33325.3463544687,4954.6536455313
"168","846",31390,38730,-0.991545212088848,-0.3313882206994,"August",1576.08899626533,32966.0889962653,5763.91100373467
"169","847",31420,38500,-0.964514998543593,-0.724605698704329,"August",1522.41371244241,32942.4137124424,5557.58628755758
"170","848",31880,37700,-0.550051724183033,-2.09231866567801,"August",1001.7634651937,32881.7634651937,4818.2365348063
"171","857",32490,38750,-0.000437382096198141,-0.297195396525052,"August",1692.28874474749,34182.2887447475,4567.71125525251
"172","858",32010,38510,-0.432920798820267,-0.707509286617161,"August",1543.20060428285,33553.2006042828,4956.79939571716
"173","859",32310,39990,-0.162618663367722,1.82275970228416,"August",1989.42974912158,34299.4297491216,5690.57025087842
"174","860",33060,40000,0.513136675263629,1.83985611437133,"August",2057.0980329222,35117.0980329222,4882.9019670778
"175","869",32730,39000,0.21580432626583,0.130214905654224,"August",1821.28299707796,34551.282997078,4448.71700292204
"176","870",33460,39400,0.873539522533682,0.814071389141065,"August",1864.05363117184,35324.0536311718,4075.94636882816
"177","871",32780,40000,0.26085468217459,1.83985611437133,"August",2034.03568563916,34814.0356856392,5185.96431436084
"178","872",33780,39130,1.16186180034973,0.352468262787453,"August",1866.98191402598,35646.981914026,3483.01808597402
"179","881",34740,38710,2.02682863379786,-0.365581044873735,"August",1884.12882547282,36624.1288254728,2085.87117452718
"180","882",35800,40000,2.98189617906349,1.83985611437133,"August",2061.66666666465,37861.6666666646,2138.33333333535
"181","884",37840,40000,4.81995070014078,1.83985611437133,"August",2061.66666666667,39901.6666666667,98.3333333333358
"182","89",32560,39260,0.0626331161760616,0.574721619920669,"August",1883.80662888754,34443.8066288875,4816.19337111246
"183","893",31550,38460,-0.847384073180826,-0.792991347053012,"August",1521.82953389072,33071.8295338907,5388.17046610927
"184","894",31670,38430,-0.739263218999809,-0.844280583314527,"August",1522.23627406361,33192.2362740636,5237.76372593639
