"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","june","aug","exp.adjust","exp.adjustTest1","stress"
"1","10_A_65",32090,39090,-0.605598971136247,0.108396497246005,"june",1,0,71.2576975854947,32161.2576975855,6928.7423024145
"2","10_B_66",35330,40000,0.754359904826838,0.360371525404632,"june",1,0,68.5285701669248,35398.5285701669,4601.47142983307
"3","10_C_67",31410,38550,-0.891022438930971,-0.0411271458371387,"june",1,0,71.2068390181125,31481.2068390181,7068.79316098189
"4","10_D_68",32030,38510,-0.630783394765194,-0.0522029712507045,"june",1,0,71.2260200917226,32101.2260200917,6408.77397990828
"5","162_A_941",30870,38220,-1.11768225159149,-0.132502705499058,"june",1,0,71.0046987887957,30941.0046987888,7278.99530121121
"6","162_B_942",30780,39040,-1.1554588870349,0.0945517154790463,"june",1,0,71.1727497965237,30851.1727497965,8188.82725020348
"7","162_C_943",30790,38390,-1.15126148309675,-0.0854304474914021,"june",1,0,71.0203257800719,30861.0203257801,7528.97967421993
"8","162_D_944",30780,38570,-1.1554588870349,-0.0355892331303548,"june",1,0,71.0653421413771,30851.0653421414,7718.93465785862
"9","166_A_965",33190,39450,-0.143884537938905,0.2080789259681,"june",1,0,71.4129662056607,33261.4129662057,6188.58703379434
"10","166_C_967",33160,39390,-0.156476749753379,0.19146518784775,"june",1,0,71.4187402435185,33231.4187402435,6158.58125975648
"11","170_A_989",32050,39100,-0.622388586888881,0.111165453599396,"june",1,0,71.2534661576416,32121.2534661576,6978.74653384236
"12","170_B_990",31350,39310,-0.916206862559916,0.169313537020618,"june",1,0,71.2243234274089,31421.2243234274,7888.77567657259
"13","170_C_991",31560,38660,-0.828061379858606,-0.0106686259498322,"june",1,0,71.2181698323201,31631.2181698323,7028.78183016768
"14","170_D_992",31670,38820,-0.781889936538871,0.0336346757044332,"june",1,0,71.2233832592641,31741.2233832593,7078.77661674074
"15","188_A_1197",32730,39710,-0.336965119094159,0.280071791156278,"june",1,0,71.424450970481,32801.4244509705,6908.57554902952
"16","188_B_1198",35170,40000,0.687201441816316,0.360371525404632,"june",1,0,69.1120528491535,35239.1120528492,4760.88794715085
"17","19_B_126",31940,39070,-0.668560030208613,0.102858584539221,"june",1,0,71.2403899473218,32011.2403899473,7058.75961005268
"18","19_C_127",31370,38570,-0.907812054683601,-0.0355892331303548,"june",1,0,71.2048624257361,31441.2048624257,7128.79513757426
"19","19_D_128",34440,40000,0.380790954330804,0.360371525404632,"june",1,0,69.8185210055666,34509.8185210056,5490.18147899443
"20","201_A_1269",36190,40000,1.1153366435084,0.360371525404632,"june",1,0,64.9072999785469,36254.9072999785,3745.09270002145
"21","201_B_1270",32400,39090,-0.475479449053361,0.108396497246005,"june",1,0,71.3201659619302,32471.3201659619,6618.67983403807
"22","201_C_1271",35290,39230,0.737570289074207,0.147161886193484,"june",1,0,69.7207618618444,35359.7207618618,3870.27923813816
"23","201_D_1272",33040,40000,-0.20684559701127,0.360371525404632,"june",1,0,71.3626168826573,33111.3626168827,6888.63738311734
"24","206_A_1329",31700,38870,-0.769297724724399,0.04747945747139,"june",1,0,71.2247206920954,31771.2247206921,7098.77527930791
"25","206_B_1330",32260,39260,-0.534243104187569,0.155468755253659,"june",1,0,71.3171025881758,32331.3171025882,6928.68289741183
"26","206_C_1331",35010,40000,0.620042978805792,0.360371525404632,"june",1,0,69.4529803188936,35079.4529803189,4920.54701968111
"27","209_A_1365",32110,38820,-0.597204163259934,0.0336346757044332,"june",1,0,71.2390776888817,32181.2390776889,6638.76092231112
"28","209_B_1366",31480,39030,-0.861640611363867,0.0917827591256553,"june",1,0,71.2227578611604,31551.2227578612,7478.77724213884
"29","209_C_1367",31830,38950,-0.714731473528349,0.0696311082985236,"june",1,0,71.2297390185075,31901.2297390185,7048.77026098149
"30","212_D_1404",39130,40000,2.34937340132676,0.360371525404632,"june",1,0,65.3871093831147,39195.3871093831,804.612890616889
"31","214_A_1425",36520,40000,1.2538509734676,0.360371525404632,"june",1,0,64.7228666504567,36584.7228666505,3415.27713334954
"32","214_B_1426",31360,38450,-0.912009458621759,-0.0688167093710523,"june",1,0,71.1946310740925,31431.1946310741,7018.80536892591
"33","221_C_1511",38620,40000,2.13530580048071,0.360371525404632,"june",1,0,66.3050000129797,38686.305000013,1313.69499998702
"34","221_D_1512",31810,38800,-0.723126281404664,0.0280967629976493,"june",1,0,71.2259683402969,31881.2259683403,6918.7740316597
"35","231_B_1630",35490,40000,0.821518367837362,0.360371525404632,"june",1,0,67.6850315434376,35557.6850315434,4442.31496845657
"36","231_C_1631",32660,39190,-0.366346946661263,0.136086060779919,"june",1,0,71.393674542942,32731.3936745429,6458.60632545706
"37","231_D_1632",33540,39980,0.00302459989661385,0.354833612697848,"june",1,0,70.9186169717141,33610.9186169717,6369.08138302829
"38","233_A_1653",31450,38680,-0.87423282317834,-0.00513071324304826,"june",1,0,71.2147528007582,31521.2147528008,7158.78524719924
"39","233_B_1654",33340,38720,-0.0809234788665379,0.00594511217051758,"june",1,0,71.4225559880913,33411.4225559881,5308.57744401191
"40","233_C_1655",34470,40000,0.393383166145278,0.360371525404632,"june",1,0,69.8087502548024,34539.8087502548,5460.1912497452
"41","233_D_1656",33150,39370,-0.160674153691536,0.185927275140966,"june",1,0,71.4201501142675,33221.4201501143,6148.57984988573
"42","236_B_1690",32870,38870,-0.278201463959951,0.04747945747139,"june",1,0,71.3887216380994,32941.3887216381,5928.6112783619
"43","236_D_1692",35690,40000,0.905466446600514,0.360371525404632,"june",1,0,66.4956286264847,35756.4956286265,4243.50437137351
"44","242_A_1761",32550,39040,-0.412518389980997,0.0945517154790463,"june",1,0,71.3481407538813,32621.3481407539,6418.65185924612
"45","242_B_1762",32710,39770,-0.345359926970473,0.296685529276628,"june",1,0,71.4242909229931,32781.424290923,6988.57570907701
