"","X2018_11_1_plate","X2018_11_1_plate.1","X2018_11_1_plate.2","X2018_11_1_plate.3","X2018_11_1_plate.4","X2018_11_1_plate.5","X2018_11_1_plate.6","X2018_11_1_plate.7","X2018_11_1_plate.8","X2018_11_1_plate.9","X2018_11_1_plate.10","X2018_11_1_plate.11","X2018_11_1_plate.12","X2018_11_1_plate.13","X2018_11_1_plate.14","X2018_11_1_plate.15","X2018_11_1_plate.16","X2018_11_1_plate.17","X2018_11_1_plate.18","X2018_11_1_plate.19","X2018_11_1_plate.20","X2018_11_1_plate.21","X2018_11_1_plate.22","X2018_11_1_plate.23","X2018_11_1_plate.24","X2018_11_1_plate.25","X2018_11_1_plate.26","X2018_11_1_plate.27","X2018_11_1_plate.28","X2018_11_1_plate.29","X2018_11_1_plate.30","X2018_11_1_plate.31","X2018_11_1_plate.32","X2018_11_1_plate.33","X2018_11_1_plate.34","X2018_11_1_plate.35","X2018_11_1_plate.36","X2018_11_1_plate.37","X2018_11_1_plate.38","X2018_11_1_plate.39","X2018_11_1_plate.40","X2018_11_1_plate.41","X2018_11_1_plate.42","X2018_11_1_plate.43","X2018_11_1_plate.44","X2018_11_1_plate.45","X2018_11_1_plate.46","X2018_11_1_plate.47","X2018_11_1_plate.48","X2018_11_1_plate.49","X2018_11_1_plate.50","X2018_11_1_plate.51","X2018_11_1_plate.52","X2018_11_1_plate.53","X2018_11_1_plate.54","X2018_11_1_plate.55","X2018_11_1_plate.56","X2018_11_1_plate.57","X2018_11_1_plate.58","X2018_11_1_plate.59","X2018_11_1_plate.60","X2018_11_1_plate.61","X2018_11_1_plate.62","X2018_11_1_plate.63","X2018_11_1_plate.64","X2018_11_1_plate.65","X2018_11_1_plate.66","X2018_11_1_plate.67","X2018_11_1_plate.68","X2018_11_1_plate.69","X2018_11_1_plate.70","X2018_11_1_plate.71","X2018_11_1_plate.72","X2018_11_1_plate.73","X2018_11_1_plate.74","X2018_11_1_plate.75","X2018_11_1_plate.76","X2018_11_1_plate.77","X2018_11_1_plate.78","X2018_11_1_plate.79","X2018_11_1_plate.80","X2018_11_1_plate.81","X2018_11_1_plate.82","X2018_11_1_plate.83","X2018_11_1_plate.84","X2018_11_1_plate.85","X2018_11_1_plate.86","X2018_11_1_plate.87","X2018_11_1_plate.88","X2018_11_1_plate.89","X2018_11_1_plate.90","X2018_11_1_plate.91","X2018_11_1_plate.92","X2018_11_1_plate.93","X2018_11_1_plate.94","X2018_11_1_plate.95","X2018_11_1_plate.96","X2018_11_1_plate.97","X2018_11_1_plate.98","X2018_11_1_plate.99","X2018_11_1_plate.100","X2018_11_1_plate.101","X2018_11_1_plate.102","X2018_11_1_plate.103","X2018_11_1_plate.104","X2018_11_1_plate.105","X2018_11_1_plate.106","X2018_11_1_plate.107","X2018_11_1_plate.108","X2018_11_1_plate.109","X2018_11_1_plate.110","X2018_11_1_plate.111","X2018_11_1_plate.112","X2018_11_1_plate.113","X2018_11_1_plate.114","X2018_11_1_plate.115","X2018_11_1_plate.116","X2018_11_1_plate.117","X2018_11_1_plate.118","X2018_11_1_plate.119","X2018_11_1_plate.120","X2018_11_1_plate.121","X2018_11_1_plate.122","X2018_11_1_plate.123","X2018_11_1_plate.124","X2018_11_1_plate.125","X2018_11_1_plate.126","X2018_11_1_plate.127","X2018_11_1_plate.128","X2018_11_1_plate.129","X2018_11_1_plate.130","X2018_11_1_plate.131","X2018_11_1_plate.132","X2018_11_1_plate.133","X2018_11_1_plate.134","X2018_11_1_plate.135","X2018_11_1_plate.136","X2018_11_1_plate.137","X2018_11_1_plate.138","X2018_11_1_plate.139","X2018_11_1_plate.140","X2018_11_1_plate.141","X2018_11_1_plate.142","X2018_11_1_plate.143","X2018_11_1_plate.144","X2018_11_1_plate.145","X2018_11_1_plate.146","X2018_11_1_plate.147","X2018_11_1_plate.148","X2018_11_1_plate.149","X2018_11_1_plate.150","X2018_11_1_plate.151","X2018_11_1_plate.152","X2018_11_1_plate.153","X2018_11_1_plate.154","X2018_11_1_plate.155","X2018_11_1_plate.156","X2018_11_1_plate.157","X2018_11_1_plate.158","X2018_11_1_plate.159","X2018_11_1_plate.160","X2018_11_1_plate.161","X2018_11_1_plate.162","X2018_11_1_plate.163","X2018_11_1_plate.164","X2018_11_1_plate.165","X2018_11_1_plate.166","X2018_11_1_plate.167","X2018_11_1_plate.168","X2018_11_1_plate.169","X2018_11_1_plate.170","X2018_11_1_plate.171","X2018_11_1_plate.172","X2018_11_1_plate.173","X2018_11_1_plate.174","X2018_11_1_plate.175","X2018_11_1_plate.176","X2018_11_1_plate.177","X2018_11_1_plate.178","X2018_11_1_plate.179","X2018_11_1_plate.180","X2018_11_1_plate.181","X2018_11_1_plate.182","X2018_11_1_plate.183","X2018_11_1_plate.184","X2018_11_1_plate.185","X2018_11_1_plate.186","X2018_11_1_plate.187","X2018_11_1_plate.188","X2018_11_1_plate.189","X2018_11_1_plate.190","X2018_11_1_plate.191","X2018_11_1_plate.192","X2018_11_1_plate.193","X2018_11_1_plate.194","X2018_11_1_plate.195","X2018_11_1_plate.196","X2018_11_1_plate.197","X2018_11_1_plate.198","X2018_11_1_plate.199","X2018_11_1_plate.200","X2018_11_1_plate.201","X2018_11_1_plate.202","X2018_11_1_plate.203","X2018_11_1_plate.204","X2018_11_1_plate.205","X2018_11_1_plate.206","X2018_11_1_plate.207","X2018_11_1_plate.208","X2018_11_1_plate.209","X2018_11_1_plate.210","X2018_11_1_plate.211","X2018_11_1_plate.212","X2018_11_1_plate.213","X2018_11_1_plate.214","X2018_11_1_plate.215","X2018_11_1_plate.216","X2018_11_1_plate.217","X2018_11_1_plate.218","X2018_11_1_plate.219","X2018_11_1_plate.220","X2018_11_1_plate.221","X2018_11_1_plate.222","X2018_11_1_plate.223","X2018_11_1_plate.224","X2018_11_1_plate.225","X2018_11_1_plate.226","X2018_11_1_plate.227","X2018_11_1_plate.228","X2018_11_1_plate.229","X2018_11_1_plate.230","X2018_11_1_plate.231","X2018_11_1_plate.232","X2018_11_1_plate.233","X2018_11_1_plate.234","X2018_11_1_plate.235","X2018_11_1_plate.236","X2018_11_1_plate.237","X2018_11_1_plate.238","X2018_11_1_plate.239","X2018_11_1_plate.240","X2018_11_1_plate.241","X2018_11_1_plate.242","X2018_11_1_plate.243","X2018_11_1_plate.244","X2018_11_1_plate.245","X2018_11_1_plate.246","X2018_11_1_plate.247","X2018_11_1_plate.248","X2018_11_1_plate.249","X2018_11_1_plate.250","X2018_11_1_plate.251","X2018_11_1_plate.252","X2018_11_1_plate.253","X2018_11_1_plate.254","X2018_11_1_plate.255","X2018_11_1_plate.256","X2018_11_1_plate.257","X2018_11_1_plate.258","X2018_11_1_plate.259","X2018_11_1_plate.260","X2018_11_1_plate.261"
"1","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products"
"2","499","523","547","571","595","619","642","667","691","715","1821","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","1050","1040","1063","1061","1085","1275","1308","980","1451","1355","1558","1545","1546","1424","1498","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","500","524","548","572","596","620","643","668","692","1809","1848","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","1014","1051","1064","1026","1086","1258","1296","978","1440","1320","1535","1547","1426","1522","1342","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","509","533","557","581","605","629","644","677","701","1810","1847","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","1015","1038","1073","1049","1052","1305","1307","1026","1423","1318","1344","1353","1488","1536","1329","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","510","534","558","582","606","630","653","678","702","1811","1846","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","1016","1037","1074","1199","1281","1293","1306","1462","1467","1390","1356","1378","1497","1524","1463","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","511","535","559","583","607","631","654","679","703","1812","1845","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","977","1013","1075","1259","1282","1223","1317","1380","1452","1389","1486","1523","1543","1449","1332","512","536","560","584","608","632","655","680","704","1824","1025","1039","1087","1260","1283","1294","1221","1521","1533","1392","1499","1450","1461","1485","521","545","569","593","617","656","665","689","713","1823","979","1200","1088","1245","1247","1284","1222","1487","1437","1500","1391","1377","1508","1438","522","546","570","594","618","641","666","690","714","1822","1076","1062","1027","1246","1248","1295","1224","1425","1341","1439","1557","1379","1354","1534","NTC","NTC","NTC","NTC","NTC","NTC"
"3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","50.00","50.00","50.00","50.00","50.00","50.00","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.10","0.10","0.10","0.10","0.10","0.10","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","10.00","10.00","10.00","10.00","10.00","10.00","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.05","0.05","0.05","0.05","0.05","0.05","Nan","Nan","Nan","Nan","Nan","Nan","Nan","Nan","Nan","Nan","Nan","5.00","5.00","5.00","5.00","5.00","5.00","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.01","0.01","0.01","0.01","0.01","0.01","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.00","1.00","1.00","1.00","1.00","1.00","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.005 ","0.005 ","0.005 ","0.005 ","0.005 ","0.005 ","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.50","0.50","0.50","0.50","0.50","0.50","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"4","27.39","27.32","25.7","27.45","26.16","26.63","28.81","28.36","27.43","28.09","28.18","7.4","7.91","8.16","8.9","14.85","14.93","29.37","24.47","24.13","24.81","24.51","22.63","23.14","24.95","28.93","30.21","30.53","28.27","23.48","29.41","25.54","14.03","13.84","14.93","14.15","11.3","12.57","28.03","27.23","29.66","27.7","26.26","26.71","27.37","29.82","25.75","26.28","25.25","8.73","8.68","8.64","7.91","8.28","8.44","28.14","25.35","24.43","27.79","26","24.57","23.19","24.34","17.18","30.67","30.21","15.83","10.16","1","28.29","15.39","14.9","16.48","15.11","12.93","13.68","28.07","26.88","28.15","27.53","27.96","24.59","26.32","27.61","23.53","25.08","27.46","10.07","10.39","8.98","8.59","9.74","8.59","25.31","24.16","28.85","25","24.45","22.92","24","19.37","3.14","NA","28.93","22.43","22.26","25.36","10.1","17.78","15.93","19.31","17.74","16.14","16.84","28.43","27.51","27.98","28.5","27.65","23.9","24.71","26.59","25.4","27.72","27.46","12.04","11.98","11.24","10.65","10.13","9.68","25.46","27.84","23.37","25.09","22.8","24.26","13.23","16.85","22.35","21.56","13.4","23.5","14.57","1","1","19.49","17.56","20.09","18.78","17.17","18.5","28.39","26.78","27.52","30.85","27.96","27.79","27","26.07","26.27","27.56","26.75","13.21","12.98","12.36","12.2","12.42","10.28","28.42","23.75","25.34","24.38","22.88","27.75","14.18","21.59","21.7","25.89","15.29","33.15","19.15","18.81","16.79","27.5","28.48","27.12","27.24","27.85","27.46","27.3","28.2","26.32","27.8","1","24.53","23.08","24.41","24.06","23.17","12.23","18.69","22.73","23.05","21.5","24.34","27.62","24.03","28.01","24.3","26.92","25.7","29.69","25.46","29.81","27.46","28.91","27.67","23.49","23.66","23.05","24.03","23.25","23.35","16.03","20.88","30.34","20.74","27.16","1","NA","NA","2.19","33.96","34.67","35.81","36.03","33.44","33.99","36.01","32.13","1","16.4","15.02","23.95","22.09","22.76","22.24","16.27","1","31.73","1","29.63","30.63","28.77","30.65","39.63","45","36.35","35.26","34.05","35.15"
"5","26.04","25.92","23.27","26.9","24.74","25.07","28.24","19.85","26.57","27.2","27.49","3.26","3.77","4.02","4.97","13.7","13.59","28.49","22.37","22.25","22.43","22.86","20.9","19.48","22.34","27.82","28.87","28.54","5.51","21.5","28.65","22.76","11.63","11.57","12.72","12.11","8.62","10.35","27.4","26.38","28.78","27.02","25.2","25.41","26.74","29.24","24.1","24.97","23.79","5.66","5.59","5.35","4.37","5.07","5.15","27.26","23.36","22.41","11.78","23.83","22.18","20.48","21.21","13.51","29.79","29.32","9.88","9.3","1","27.22","13.13","12.59","14.55","12.85","10.27","11.14","27.3","25.5","27.6","27","27.26","22.92","24.68","26.96","22.13","23.99","26.9","6.4","6.77","5.09","4.64","6.02","4.74","23","21.29","23.05","22.84","22.35","20.42","22.24","4.48","1.8","NA","27.32","21.51","19.58","22.11","8.96","16.23","13.1","18.12","16.05","13.81","14.88","27.61","26.07","27.01","27.61","26.66","22.9","23.25","22.43","23.88","6.29","26.71","9.64","9.55","8.59","7.91","7.33","6.8","22.81","26.78","20.4","22.98","19.81","22.49","10.21","11.78","20","19.17","13.13","6.9","12.42","1","1","18.56","15.38","18.89","17.43","14.74","17.1","27.46","24.5","26.67","30.15","27.42","6.07","25.63","24.54","24.85","26.79","26.08","11.15","10.87","10","9.84","9.99","7.52","24.22","21.31","22.15","21.79","19.69","24.24","11.2","20.27","21.21","21.98","11.2","31.72","14.17","17.15","12.93","26.86","27.66","25.85","26.57","27.02","26.84","26.59","27.55","24.75","27.25","1","22.33","21.07","22.28","21.75","21.18","9.88","12.33","20.04","17","16.58","21.23","26.79","20.9","27.28","22.43","26.35","23.82","28.63","23.66","29.14","26.71","28.22","27.07","20.71","21.68","21.62","21.99","20.98","15.33","12.08","19.25","28.76","10.22","24.73","1","NA","NA","1.5","32.45","32.94","33.39","33.91","32.4","31.85","33.77","31.53","14.75","13","11.25","21.67","19.13","21.05","20.74","9.56","1","30.37","1","27.74","28.86","26.9","29.85","35.67","30.44","33.98","29.62","32.93","21.25"
