"","X2018_11_2_plate","X2018_11_2_plate.1","X2018_11_2_plate.2","X2018_11_2_plate.3","X2018_11_2_plate.4","X2018_11_2_plate.5","X2018_11_2_plate.6","X2018_11_2_plate.7","X2018_11_2_plate.8","X2018_11_2_plate.9","X2018_11_2_plate.10","X2018_11_2_plate.11","X2018_11_2_plate.12","X2018_11_2_plate.13","X2018_11_2_plate.14","X2018_11_2_plate.15","X2018_11_2_plate.16","X2018_11_2_plate.17","X2018_11_2_plate.18","X2018_11_2_plate.19","X2018_11_2_plate.20","X2018_11_2_plate.21","X2018_11_2_plate.22","X2018_11_2_plate.23","X2018_11_2_plate.24","X2018_11_2_plate.25","X2018_11_2_plate.26","X2018_11_2_plate.27","X2018_11_2_plate.28","X2018_11_2_plate.29","X2018_11_2_plate.30","X2018_11_2_plate.31","X2018_11_2_plate.32","X2018_11_2_plate.33","X2018_11_2_plate.34","X2018_11_2_plate.35","X2018_11_2_plate.36","X2018_11_2_plate.37","X2018_11_2_plate.38","X2018_11_2_plate.39","X2018_11_2_plate.40","X2018_11_2_plate.41","X2018_11_2_plate.42","X2018_11_2_plate.43","X2018_11_2_plate.44","X2018_11_2_plate.45","X2018_11_2_plate.46","X2018_11_2_plate.47","X2018_11_2_plate.48","X2018_11_2_plate.49","X2018_11_2_plate.50","X2018_11_2_plate.51","X2018_11_2_plate.52","X2018_11_2_plate.53","X2018_11_2_plate.54","X2018_11_2_plate.55","X2018_11_2_plate.56","X2018_11_2_plate.57","X2018_11_2_plate.58","X2018_11_2_plate.59","X2018_11_2_plate.60","X2018_11_2_plate.61","X2018_11_2_plate.62","X2018_11_2_plate.63","X2018_11_2_plate.64","X2018_11_2_plate.65","X2018_11_2_plate.66","X2018_11_2_plate.67","X2018_11_2_plate.68","X2018_11_2_plate.69","X2018_11_2_plate.70","X2018_11_2_plate.71","X2018_11_2_plate.72","X2018_11_2_plate.73","X2018_11_2_plate.74","X2018_11_2_plate.75","X2018_11_2_plate.76","X2018_11_2_plate.77","X2018_11_2_plate.78","X2018_11_2_plate.79","X2018_11_2_plate.80","X2018_11_2_plate.81","X2018_11_2_plate.82","X2018_11_2_plate.83","X2018_11_2_plate.84","X2018_11_2_plate.85","X2018_11_2_plate.86","X2018_11_2_plate.87","X2018_11_2_plate.88","X2018_11_2_plate.89","X2018_11_2_plate.90","X2018_11_2_plate.91","X2018_11_2_plate.92","X2018_11_2_plate.93","X2018_11_2_plate.94","X2018_11_2_plate.95","X2018_11_2_plate.96","X2018_11_2_plate.97","X2018_11_2_plate.98","X2018_11_2_plate.99","X2018_11_2_plate.100","X2018_11_2_plate.101","X2018_11_2_plate.102","X2018_11_2_plate.103","X2018_11_2_plate.104","X2018_11_2_plate.105","X2018_11_2_plate.106","X2018_11_2_plate.107","X2018_11_2_plate.108","X2018_11_2_plate.109","X2018_11_2_plate.110","X2018_11_2_plate.111","X2018_11_2_plate.112","X2018_11_2_plate.113","X2018_11_2_plate.114","X2018_11_2_plate.115","X2018_11_2_plate.116","X2018_11_2_plate.117","X2018_11_2_plate.118","X2018_11_2_plate.119","X2018_11_2_plate.120","X2018_11_2_plate.121","X2018_11_2_plate.122","X2018_11_2_plate.123","X2018_11_2_plate.124","X2018_11_2_plate.125","X2018_11_2_plate.126","X2018_11_2_plate.127","X2018_11_2_plate.128","X2018_11_2_plate.129","X2018_11_2_plate.130","X2018_11_2_plate.131","X2018_11_2_plate.132","X2018_11_2_plate.133","X2018_11_2_plate.134","X2018_11_2_plate.135","X2018_11_2_plate.136","X2018_11_2_plate.137","X2018_11_2_plate.138","X2018_11_2_plate.139","X2018_11_2_plate.140","X2018_11_2_plate.141","X2018_11_2_plate.142","X2018_11_2_plate.143","X2018_11_2_plate.144","X2018_11_2_plate.145","X2018_11_2_plate.146","X2018_11_2_plate.147","X2018_11_2_plate.148","X2018_11_2_plate.149","X2018_11_2_plate.150","X2018_11_2_plate.151","X2018_11_2_plate.152","X2018_11_2_plate.153","X2018_11_2_plate.154","X2018_11_2_plate.155","X2018_11_2_plate.156","X2018_11_2_plate.157","X2018_11_2_plate.158","X2018_11_2_plate.159","X2018_11_2_plate.160","X2018_11_2_plate.161","X2018_11_2_plate.162","X2018_11_2_plate.163","X2018_11_2_plate.164","X2018_11_2_plate.165","X2018_11_2_plate.166","X2018_11_2_plate.167","X2018_11_2_plate.168","X2018_11_2_plate.169","X2018_11_2_plate.170","X2018_11_2_plate.171","X2018_11_2_plate.172","X2018_11_2_plate.173","X2018_11_2_plate.174","X2018_11_2_plate.175","X2018_11_2_plate.176","X2018_11_2_plate.177","X2018_11_2_plate.178","X2018_11_2_plate.179","X2018_11_2_plate.180","X2018_11_2_plate.181","X2018_11_2_plate.182","X2018_11_2_plate.183","X2018_11_2_plate.184","X2018_11_2_plate.185","X2018_11_2_plate.186","X2018_11_2_plate.187","X2018_11_2_plate.188","X2018_11_2_plate.189","X2018_11_2_plate.190","X2018_11_2_plate.191","X2018_11_2_plate.192","X2018_11_2_plate.193","X2018_11_2_plate.194","X2018_11_2_plate.195","X2018_11_2_plate.196","X2018_11_2_plate.197","X2018_11_2_plate.198","X2018_11_2_plate.199","X2018_11_2_plate.200","X2018_11_2_plate.201","X2018_11_2_plate.202","X2018_11_2_plate.203","X2018_11_2_plate.204","X2018_11_2_plate.205","X2018_11_2_plate.206","X2018_11_2_plate.207","X2018_11_2_plate.208","X2018_11_2_plate.209","X2018_11_2_plate.210","X2018_11_2_plate.211","X2018_11_2_plate.212","X2018_11_2_plate.213","X2018_11_2_plate.214","X2018_11_2_plate.215","X2018_11_2_plate.216","X2018_11_2_plate.217","X2018_11_2_plate.218","X2018_11_2_plate.219","X2018_11_2_plate.220","X2018_11_2_plate.221","X2018_11_2_plate.222","X2018_11_2_plate.223","X2018_11_2_plate.224","X2018_11_2_plate.225","X2018_11_2_plate.226","X2018_11_2_plate.227","X2018_11_2_plate.228","X2018_11_2_plate.229","X2018_11_2_plate.230","X2018_11_2_plate.231"
"1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1"
"2","499","523","547","571","595","619","642","667","691","715","1821","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","1050","1040","1063","1061","1085","1275","1308","980","1451","1355","1558","1545","1546","1424","1498","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","500","524","548","572","596","620","643","668","692","1809","1848","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","1014","1051","1064","1026","1086","1258","1296","978","1440","1320","1535","1547","1426","1522","1342","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","509","533","557","581","605","629","644","677","701","1810","1847","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","1015","1038","1073","1049","1052","1305","1307","1026","1423","1318","1344","1353","1488","1536","1329","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","510","534","558","582","606","630","653","678","702","1811","1846","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","1016","1037","1074","1199","1281","1293","1306","1462","1467","1390","1356","1378","1497","1524","1463","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","511","535","559","583","607","631","654","679","703","1812","1845","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","977","1013","1075","1259","1282","1223","1317","1380","1452","1389","1486","1523","1543","1449","1332","512","536","560","584","608","632","655","680","704","1824","1025","1039","1087","1260","1283","1294","1221","1521","1533","1392","1499","1450","1461","1486","521","545","569","593","617","656","665","689","713","1823","979","1200","1088","1245","1247","1284","1222","1487","1437","1500","1391","1377","1508","1438","522","546","570","594","618","641","666","690","714","1822","1076","1062","1027","1246","1248","1295","1224","1415","1341","1439","1557","1379","1354","1534","NTC","NTC","NTC"
"3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","50.000","50.000","50.000","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.100","0.100","0.100","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","10.000","10.000","10.000","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.050","0.050","0.050","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5.000","5.000","5.000","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.010","0.010","0.010","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.000","1.000","1.000","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.005","0.005","0.005","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.500","0.500","0.500","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"4","17.34","16.13","15.04","17.07","16.69","16.56","16.36","18.49","17.31","17.36","17.21","8.66","10.25","9.25","13.42","17.2","13.18","19.23","13.64","14.71","13.85","13.47","13.38","11.98","17.39","23.1","11.51","12.68","20.86","11.15","11.19","11.9","16.65","16.08","14.65","17.36","15.63","16.01","15.84","19.9","15.5","16.61","14.4","7.76","7.67","8.08","15.36","14.86","14.43","13.49","12.87","14.21","10.72","16","16.31","21.62","1","1","21.4","16.33","14.88","12.54","11.13","12.93","18","17.96","13.79","17.67","16.43","16.66","15.62","16.93","13.58","13.9","16.32","8.68","9.7","9.8","16.34","16.01","11.86","13.39","12.96","14.12","14.64","13.82","14.37","20.3","16.36","21.93","16.17","13.21","16.62","13.78","12.58","14.74","15.89","17.04","16.38","16.05","15.72","16.84","16.63","16.73","16.69","17.3","15.2","10.33","10.78","10.07","17.26","16.57","12.72","11.71","14.79","13.1","13.85","12.23","14.97","15.04","17.22","14.31","14.84","21.13","14.14","12.07","13.09","16.54","16.19","12.74","15.01","17.14","15.37","16.76","15.25","16.35","15.28","15.15","15.06","10.85","11.12","11.12","12.01","11.77","11.58","14.27","14.51","18.37","14.62","13.52","15.65","17.08","15.6","15.52","12.84","12.49","12.66","15.68","15.29","14.56","14.61","14.88","15.84","16.2","16.25","15.21","15.94","13.68","14.76","13.19","13.98","12.68","14.88","14.08","13.39","21.94","1.34","18.9","14.87","12.59","12.88","14.28","15.61","16.88","13.6","15.75","15","14.02","16.01","15.49","14.45","15.13","14.65","13.46","14.89","13.81","16.59","17.06","14.58","20.17","16.31","20.45","13.96","14.46","17.15","17.98","18.85","19.77","20.35","18.6","20.5","19.4","21.92","20.64","20.77","15.15","13.86","14.36","13.24","14.03","16.53","13.1","14.13","17.89","21.01","20.3","17.52","15.77","20.05","18.4","19.96","16.33"
"5","14.75","12.83","11.7","13.87","14.49","13.47","13.33","15.89","14.62","14.21","14.99","4.83","6.54","5.37","10.44","15.59","10.47","17.99","11.09","12.07","10.58","9.99","9.88","9.46","13.98","19.99","8.18","10.27","18.89","8.35","8.41","9.33","14.3","13.25","10.82","15.04","12.52","12.83","13.61","18.34","12.51","14.34","11.91","4.38","4.13","4.74","12.83","12.21","11.82","11.25","10.22","12.05","7.68","12.41","13.1","18.48","1","1","20.47","14.27","11.4","10.04","8.21","10.67","15.35","16.31","10.33","15.59","13.69","13.64","12.58","14.04","10.34","11.4","14.12","4.72","6","5.96","13.93","13.59","9.01","10.83","10.37","11.86","12.8","11.24","11.49","18.96","14.58","15.38","13.22","10.55","13.79","11.29","9.98","12.26","12.76","14.42","13.97","13.37","12.66","14.47","13.66","13.42","14.28","15.28","12.76","7.5","8.13","7.1","16.01","14.33","10.01","8.86","13.11","10.54","11.69","9.41","12.4","13.76","15.29","12.27","11.81","20.27","11.63","9.13","10.85","14.47","12.98","9.42","11.77","13.3","12.53","13.84","12.1","13.82","12.06","12.63","12.81","8.1","8.54","8.55","7.83","8.79","8.29","12.24","12.61","16.24","12.75","11.18","14.21","14.26","14.88","12.85","10.03","9.29","9.28","12.33","11.74","11.72","11.42","11.19","12.77","13.4","13.24","12.15","13.91","11.19","12.74","10.86","11.84","10.01","13.84","12.27","11.47","20.9","1.17","16.26","13.25","10.96","10.63","11.15","13.18","14.89","10.09","12.65","11.83","11.04","13","11.97","11.72","12.89","12.24","10.92","12.81","11.39","15.07","15.63","13.23","19.8","15.45","18.56","12.13","10.93","14.76","13.91","14.16","15.72","14.36","11.67","14.48","12.13","14.35","16.62","16.53","13.94","10.95","11.59","10.39","11.48","15.24","8.05","10.4","15.61","17.08","17.49","15.14","11.85","18.51","11.61","12.67","13.22"
