"","X2018_9_3_plate","X2018_9_3_plate.1","X2018_9_3_plate.2","X2018_9_3_plate.3","X2018_9_3_plate.4","X2018_9_3_plate.5","X2018_9_3_plate.6","X2018_9_3_plate.7","X2018_9_3_plate.8","X2018_9_3_plate.9","X2018_9_3_plate.10","X2018_9_3_plate.11","X2018_9_3_plate.12","X2018_9_3_plate.13","X2018_9_3_plate.14","X2018_9_3_plate.15","X2018_9_3_plate.16","X2018_9_3_plate.17","X2018_9_3_plate.18","X2018_9_3_plate.19","X2018_9_3_plate.20","X2018_9_3_plate.21","X2018_9_3_plate.22","X2018_9_3_plate.23","X2018_9_3_plate.24","X2018_9_3_plate.25","X2018_9_3_plate.26","X2018_9_3_plate.27","X2018_9_3_plate.28","X2018_9_3_plate.29","X2018_9_3_plate.30","X2018_9_3_plate.31","X2018_9_3_plate.32","X2018_9_3_plate.33","X2018_9_3_plate.34","X2018_9_3_plate.35","X2018_9_3_plate.36","X2018_9_3_plate.37","X2018_9_3_plate.38","X2018_9_3_plate.39","X2018_9_3_plate.40","X2018_9_3_plate.41","X2018_9_3_plate.42","X2018_9_3_plate.43","X2018_9_3_plate.44","X2018_9_3_plate.45","X2018_9_3_plate.46","X2018_9_3_plate.47","X2018_9_3_plate.48","X2018_9_3_plate.49","X2018_9_3_plate.50","X2018_9_3_plate.51","X2018_9_3_plate.52","X2018_9_3_plate.53","X2018_9_3_plate.54","X2018_9_3_plate.55","X2018_9_3_plate.56","X2018_9_3_plate.57","X2018_9_3_plate.58","X2018_9_3_plate.59","X2018_9_3_plate.60","X2018_9_3_plate.61","X2018_9_3_plate.62","X2018_9_3_plate.63","X2018_9_3_plate.64","X2018_9_3_plate.65","X2018_9_3_plate.66","X2018_9_3_plate.67","X2018_9_3_plate.68","X2018_9_3_plate.69","X2018_9_3_plate.70","X2018_9_3_plate.71","X2018_9_3_plate.72","X2018_9_3_plate.73","X2018_9_3_plate.74","X2018_9_3_plate.75","X2018_9_3_plate.76","X2018_9_3_plate.77","X2018_9_3_plate.78","X2018_9_3_plate.79","X2018_9_3_plate.80","X2018_9_3_plate.81","X2018_9_3_plate.82","X2018_9_3_plate.83","X2018_9_3_plate.84","X2018_9_3_plate.85","X2018_9_3_plate.86","X2018_9_3_plate.87","X2018_9_3_plate.88","X2018_9_3_plate.89","X2018_9_3_plate.90","X2018_9_3_plate.91","X2018_9_3_plate.92","X2018_9_3_plate.93","X2018_9_3_plate.94","X2018_9_3_plate.95","X2018_9_3_plate.96","X2018_9_3_plate.97","X2018_9_3_plate.98","X2018_9_3_plate.99","X2018_9_3_plate.100","X2018_9_3_plate.101","X2018_9_3_plate.102","X2018_9_3_plate.103","X2018_9_3_plate.104","X2018_9_3_plate.105","X2018_9_3_plate.106","X2018_9_3_plate.107","X2018_9_3_plate.108","X2018_9_3_plate.109","X2018_9_3_plate.110","X2018_9_3_plate.111","X2018_9_3_plate.112","X2018_9_3_plate.113","X2018_9_3_plate.114","X2018_9_3_plate.115","X2018_9_3_plate.116","X2018_9_3_plate.117","X2018_9_3_plate.118","X2018_9_3_plate.119","X2018_9_3_plate.120","X2018_9_3_plate.121","X2018_9_3_plate.122","X2018_9_3_plate.123","X2018_9_3_plate.124","X2018_9_3_plate.125","X2018_9_3_plate.126","X2018_9_3_plate.127","X2018_9_3_plate.128","X2018_9_3_plate.129","X2018_9_3_plate.130","X2018_9_3_plate.131","X2018_9_3_plate.132","X2018_9_3_plate.133","X2018_9_3_plate.134","X2018_9_3_plate.135","X2018_9_3_plate.136","X2018_9_3_plate.137","X2018_9_3_plate.138","X2018_9_3_plate.139","X2018_9_3_plate.140","X2018_9_3_plate.141","X2018_9_3_plate.142","X2018_9_3_plate.143","X2018_9_3_plate.144","X2018_9_3_plate.145","X2018_9_3_plate.146","X2018_9_3_plate.147","X2018_9_3_plate.148","X2018_9_3_plate.149","X2018_9_3_plate.150","X2018_9_3_plate.151","X2018_9_3_plate.152","X2018_9_3_plate.153","X2018_9_3_plate.154","X2018_9_3_plate.155","X2018_9_3_plate.156","X2018_9_3_plate.157","X2018_9_3_plate.158","X2018_9_3_plate.159","X2018_9_3_plate.160","X2018_9_3_plate.161","X2018_9_3_plate.162","X2018_9_3_plate.163","X2018_9_3_plate.164","X2018_9_3_plate.165","X2018_9_3_plate.166","X2018_9_3_plate.167","X2018_9_3_plate.168","X2018_9_3_plate.169","X2018_9_3_plate.170","X2018_9_3_plate.171","X2018_9_3_plate.172","X2018_9_3_plate.173","X2018_9_3_plate.174","X2018_9_3_plate.175","X2018_9_3_plate.176","X2018_9_3_plate.177","X2018_9_3_plate.178","X2018_9_3_plate.179","X2018_9_3_plate.180","X2018_9_3_plate.181","X2018_9_3_plate.182","X2018_9_3_plate.183","X2018_9_3_plate.184","X2018_9_3_plate.185","X2018_9_3_plate.186","X2018_9_3_plate.187","X2018_9_3_plate.188","X2018_9_3_plate.189","X2018_9_3_plate.190","X2018_9_3_plate.191","X2018_9_3_plate.192","X2018_9_3_plate.193","X2018_9_3_plate.194","X2018_9_3_plate.195","X2018_9_3_plate.196","X2018_9_3_plate.197","X2018_9_3_plate.198","X2018_9_3_plate.199","X2018_9_3_plate.200","X2018_9_3_plate.201"
"1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","test1","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","test1","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","test1","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products","all_products","test1","test1","test1","all_products","all_products","all_products","all_products","all_products","all_products"
"2","246","270","318","342","366","390","414","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","246","270","318","342","366","390","414","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","247","271","319","343","367","391","415","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","247","271","319","343","367","391","415","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","248","272","320","344","368","392","416","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","248","272","320","344","368","392","416","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","257","305","329","353","377","401","437","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","257","305","329","353","377","401","437","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","258","306","330","354","378","402","438","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","258","306","330","354","378","402","438","259","307","332","355","379","403","439","259","307","332","355","379","403","439","260","308","331","356","380","404","440","260","308","331","356","380","404","440","269","317","341","365","389","413","449","269","317","341","365","389","413","449","NTC","NTC","NTC","NTC","NTC","NTC","NTC","NTC","NTC"
"3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","100","100","100","100","100","100","100","100","100","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","50","50","50","50","50","50","50","50","50","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","10","10","10","10","10","10","10","10","10","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5","5","5","5","5","5","5","5","5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","1","1","1","1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"4","19.51","18.84","18.77","17.73","14.39","18.15","18.22","7.56","7.84","7.05","7.7","8.27","6.98","7.73","6.98","2.88","27.56","22.74","22.85","17.03","22.95","19.03","14.86","10.85","10.15","10.74","11.35","12.07","12.45","11.67","10.38","10.83","18.12","18.73","18.92","16.92","18.3","18.48","16.96","7.13","7.9","7.71","8.5","5.97","7.18","8.82","8.44","9.42","21.06","17.36","21.23","20.25","23.71","24.1","22.41","12.89","12.43","12.93","13.96","13.85","15.26","13.59","12.28","13.34","18.45","18.69","18.87","18.44","17.68","17.87","18.24","7.97","7.83","7.41","8.04","8.3","8.05","8.36","8.07","8.01","24.98","22.1","24.42","23.34","25.15","25.3","20.39","13.95","13.15","14.2","15.22","14.57","16.96","14.63","13.03","13.27","18.67","19.59","18.31","19.92","18.67","18.49","18.69","9.5","9.88","8.69","9.74","9.61","9.88","9.24","8.83","8.59","25.48","16.58","21.5","25.99","24.58","22.22","21.9","15.66","14.31","16.62","17.22","17.42","18.88","18.2","14.55","17.6","18.97","18.63","19.7","18.8","18.63","18.18","18.96","10.31","10.99","9.83","11.73","11.58","11.12","10.81","11.26","10.41","23.58","23.82","23.01","24.28","23.67","23.42","18.28","19.04","17.61","18.95","19.24","18.62","18.36","18.83","23.41","22.09","22.27","23.75","21.91","16.48","14.23","18.76","18.28","18.29","18.05","18","18.82","19.17","17.22","24.69","23.81","23.81","24.46","15.17","17.51","18.23","18.02","18.84","19.22","19.75","19.54","19.49","16.54","22.85","21.11","23.85","14.04","20.93","20.3","26.43","32.99","40.46","37.81","21.86","45","NA","45","37.01"
"5","18.82","18.02","17.66","16.49","11.17","16.16","16.26","3.98","4.03","3.43","3.97","4.61","3.17","3.73","2.93","1","26.08","22.04","7.4","13.45","20.56","14.67","9.99","8.16","7.3","7.91","8.64","9.49","10.1","9.18","7.48","8.14","16.14","17.76","17.65","15.94","17.12","16.9","14.14","2.45","3.11","3.16","3.98","1.14","2.33","4.52","4.07","5.35","18.57","11.93","17.96","17.93","21.68","22.17","19.75","10.42","9.99","10.26","11.46","11.47","13.1","11.21","9.7","10.85","16.98","17.51","17.62","17.7","15.93","16.76","16.67","4.74","4.62","4.13","4.85","5.15","4.79","5.06","4.79","4.74","22.53","19.89","22.55","21.65","22.19","22.14","16.24","11.58","10.72","11.76","12.9","12.07","15.15","12.27","10.39","10.52","17.25","18.55","17.07","19.09","16.98","17.39","16.09","5.7","6.12","4.59","5.95","5.74","6.14","5.33","4.59","4.57","23.61","9.85","18.88","23.64","22.27","19.81","20.76","13.05","11.56","14.79","14.89","15.63","17.52","16.84","11.54","16.19","18.04","17.71","19.07","17.9","17.25","17.34","17.11","7.43","8.37","6.87","9.19","9.08","8.4","8.21","8.66","7.63","21.28","21.82","20.82","22.28","20.97","21.54","15.9","17.58","16.4","17.94","17.62","16.56","17.05","17.16","21.4","20.02","20.93","21.72","19.04","12.34","10.83","17.67","17.26","17.26","17.04","16.01","17.94","17.97","13.5","23.11","22.04","22.42","22.87","9.33","12.75","17.71","17.3","17.9","17.92","18.77","18.63","18.5","12.24","20.64","18.98","20.66","7.68","18.61","16.8","23.44","29.77","33.83","35.26","20.92","32.76","NA","45","30.91"
