"","X2018_9_2_plate","X2018_9_2_plate.1","X2018_9_2_plate.2","X2018_9_2_plate.3","X2018_9_2_plate.4","X2018_9_2_plate.5","X2018_9_2_plate.6","X2018_9_2_plate.7","X2018_9_2_plate.8","X2018_9_2_plate.9","X2018_9_2_plate.10","X2018_9_2_plate.11","X2018_9_2_plate.12","X2018_9_2_plate.13","X2018_9_2_plate.14","X2018_9_2_plate.15","X2018_9_2_plate.16","X2018_9_2_plate.17","X2018_9_2_plate.18","X2018_9_2_plate.19","X2018_9_2_plate.20","X2018_9_2_plate.21","X2018_9_2_plate.22","X2018_9_2_plate.23","X2018_9_2_plate.24","X2018_9_2_plate.25","X2018_9_2_plate.26","X2018_9_2_plate.27","X2018_9_2_plate.28","X2018_9_2_plate.29","X2018_9_2_plate.30","X2018_9_2_plate.31","X2018_9_2_plate.32","X2018_9_2_plate.33","X2018_9_2_plate.34","X2018_9_2_plate.35","X2018_9_2_plate.36","X2018_9_2_plate.37","X2018_9_2_plate.38","X2018_9_2_plate.39","X2018_9_2_plate.40","X2018_9_2_plate.41","X2018_9_2_plate.42","X2018_9_2_plate.43","X2018_9_2_plate.44","X2018_9_2_plate.45","X2018_9_2_plate.46","X2018_9_2_plate.47","X2018_9_2_plate.48","X2018_9_2_plate.49","X2018_9_2_plate.50","X2018_9_2_plate.51","X2018_9_2_plate.52","X2018_9_2_plate.53","X2018_9_2_plate.54","X2018_9_2_plate.55","X2018_9_2_plate.56","X2018_9_2_plate.57","X2018_9_2_plate.58","X2018_9_2_plate.59","X2018_9_2_plate.60","X2018_9_2_plate.61","X2018_9_2_plate.62","X2018_9_2_plate.63","X2018_9_2_plate.64","X2018_9_2_plate.65","X2018_9_2_plate.66","X2018_9_2_plate.67","X2018_9_2_plate.68","X2018_9_2_plate.69","X2018_9_2_plate.70","X2018_9_2_plate.71","X2018_9_2_plate.72","X2018_9_2_plate.73","X2018_9_2_plate.74","X2018_9_2_plate.75","X2018_9_2_plate.76","X2018_9_2_plate.77","X2018_9_2_plate.78","X2018_9_2_plate.79","X2018_9_2_plate.80","X2018_9_2_plate.81","X2018_9_2_plate.82","X2018_9_2_plate.83","X2018_9_2_plate.84","X2018_9_2_plate.85","X2018_9_2_plate.86","X2018_9_2_plate.87","X2018_9_2_plate.88","X2018_9_2_plate.89","X2018_9_2_plate.90","X2018_9_2_plate.91","X2018_9_2_plate.92","X2018_9_2_plate.93","X2018_9_2_plate.94","X2018_9_2_plate.95","X2018_9_2_plate.96","X2018_9_2_plate.97","X2018_9_2_plate.98","X2018_9_2_plate.99","X2018_9_2_plate.100","X2018_9_2_plate.101","X2018_9_2_plate.102","X2018_9_2_plate.103","X2018_9_2_plate.104","X2018_9_2_plate.105","X2018_9_2_plate.106","X2018_9_2_plate.107","X2018_9_2_plate.108","X2018_9_2_plate.109","X2018_9_2_plate.110","X2018_9_2_plate.111","X2018_9_2_plate.112","X2018_9_2_plate.113","X2018_9_2_plate.114","X2018_9_2_plate.115","X2018_9_2_plate.116","X2018_9_2_plate.117","X2018_9_2_plate.118","X2018_9_2_plate.119","X2018_9_2_plate.120","X2018_9_2_plate.121","X2018_9_2_plate.122","X2018_9_2_plate.123","X2018_9_2_plate.124","X2018_9_2_plate.125","X2018_9_2_plate.126","X2018_9_2_plate.127","X2018_9_2_plate.128","X2018_9_2_plate.129","X2018_9_2_plate.130","X2018_9_2_plate.131","X2018_9_2_plate.132","X2018_9_2_plate.133","X2018_9_2_plate.134","X2018_9_2_plate.135","X2018_9_2_plate.136","X2018_9_2_plate.137","X2018_9_2_plate.138","X2018_9_2_plate.139","X2018_9_2_plate.140","X2018_9_2_plate.141","X2018_9_2_plate.142","X2018_9_2_plate.143","X2018_9_2_plate.144","X2018_9_2_plate.145","X2018_9_2_plate.146","X2018_9_2_plate.147","X2018_9_2_plate.148","X2018_9_2_plate.149","X2018_9_2_plate.150","X2018_9_2_plate.151","X2018_9_2_plate.152","X2018_9_2_plate.153","X2018_9_2_plate.154","X2018_9_2_plate.155","X2018_9_2_plate.156","X2018_9_2_plate.157","X2018_9_2_plate.158","X2018_9_2_plate.159","X2018_9_2_plate.160","X2018_9_2_plate.161","X2018_9_2_plate.162","X2018_9_2_plate.163","X2018_9_2_plate.164","X2018_9_2_plate.165","X2018_9_2_plate.166","X2018_9_2_plate.167","X2018_9_2_plate.168","X2018_9_2_plate.169","X2018_9_2_plate.170","X2018_9_2_plate.171","X2018_9_2_plate.172","X2018_9_2_plate.173","X2018_9_2_plate.174","X2018_9_2_plate.175","X2018_9_2_plate.176","X2018_9_2_plate.177","X2018_9_2_plate.178","X2018_9_2_plate.179","X2018_9_2_plate.180","X2018_9_2_plate.181","X2018_9_2_plate.182","X2018_9_2_plate.183","X2018_9_2_plate.184","X2018_9_2_plate.185","X2018_9_2_plate.186","X2018_9_2_plate.187","X2018_9_2_plate.188","X2018_9_2_plate.189","X2018_9_2_plate.190","X2018_9_2_plate.191","X2018_9_2_plate.192","X2018_9_2_plate.193","X2018_9_2_plate.194","X2018_9_2_plate.195","X2018_9_2_plate.196","X2018_9_2_plate.197","X2018_9_2_plate.198","X2018_9_2_plate.199","X2018_9_2_plate.200","X2018_9_2_plate.201","X2018_9_2_plate.202","X2018_9_2_plate.203","X2018_9_2_plate.204","X2018_9_2_plate.205","X2018_9_2_plate.206","X2018_9_2_plate.207","X2018_9_2_plate.208","X2018_9_2_plate.209","X2018_9_2_plate.210","X2018_9_2_plate.211","X2018_9_2_plate.212","X2018_9_2_plate.213","X2018_9_2_plate.214","X2018_9_2_plate.215","X2018_9_2_plate.216","X2018_9_2_plate.217"
"1","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products","all_products"
"2","716","740","764","788","812","836","860","884","908","932","450","474","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","9","29","53","89","113","149","173","209","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","725","749","773","797","821","845","869","893","917","953","451","475","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","6","30","54","90","114","150","174","210","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","726","750","774","798","822","846","870","894","918","954","452","476","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","7","31","55","91","115","151","175","211","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","727","751","775","799","823","847","871","895","919","955","461","485","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","8","32","56","92","116","152","176","212","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","728","752","776","800","824","848","872","896","920","956","462","486","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","gblock_minusIRE_onlyExonnoIRE","17","41","77","101","137","161","197","233","737","761","785","809","833","857","881","905","929","245","463","487","18","42","78","102","138","162","198","234","738","762","786","810","834","858","882","906","930","464","488","19","43","79","103","139","163","199","235","739","763","787","811","835","859","883","907","931","473","497","20","44","80","104","140","164","200","236","NTC","NTC","NTC","NTC","NTC","NTC"
"3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","100","100","100","100","100","100","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.5","0.5","0.5","0.5","0.5","0.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","50","50","50","50","50","50","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.1","0.1","0.1","0.1","0.1","0.1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","10","10","10","10","10","10","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.05","0.05","0.05","0.05","0.05","0.05","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5","5","5","5","5","5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.01","0.01","0.01","0.01","0.01","0.01","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"4","29.31","28.38","26.66","27.16","24.94","26.51","28.48","33.46","26.13","27.69","26.22","27.26","6.89","7.51","8.87","7.01","6.4","3.31","26.08","23.04","25.89","26.35","27.84","24.71","23.31","23.55","11.71","11.6","12.51","12.15","12.11","12.93","29.32","27.52","27.56","28.48","26.79","26.26","27.76","27.96","26.86","26.19","26.97","25.88","7.66","7.15","11.16","9.9","9.76","10.56","25.78","26.25","25.75","25.78","22.69","NA","13.59","10.52","14.51","13.12","14.56","13.48","13.21","13.51","29.12","29.21","28.24","27.88","27.55","26.42","28.36","27.12","28.01","27.56","27.43","26.22","8.49","8.1","8.16","9.2","10.64","7.15","21.43","27.52","24.83","23.88","1","23.6","24.12","19.5","15.89","14.12","16.62","14.81","13.74","15.3","28.16","27.16","29.59","27.55","24.43","26.91","27.18","27.68","27.49","27.37","25.38","27.73","9.6","10.59","9.31","9.01","8.69","7.82","25.08","28.53","22.37","24.6","29.31","6.89","19.56","12.64","18.05","14.18","18.6","17.6","17.01","17.3","28.18","26.97","1","27.32","25.82","26.62","28.77","28.8","26.76","26.84","25.66","27.16","11.76","11.46","10.9","10.24","11.04","10.15","23.14","25.48","45","25.46","24.45","19.45","12.87","15.26","27.71","27.84","28.52","27.99","25.55","25.88","28.97","26.81","26.79","27.09","26.56","26.68","25.56","37.49","23.19","24.47","20.8","13.39","19.38","23.33","1","24.63","26.89","26.44","25.27","26.01","31.09","27.89","27.75","28.61","27.9","13.52","23.46","22.26","21.08","24.9","1","14.03","1","24.88","27.5","31.21","28.78","27.57","28.13","30.76","28.5","28.54","28.89","28.56","1","22.97","23.83","18.85","22.44","17.32","21.68","22.5","22.44","11.87","1","33.56","45","39.79"
"5","28.75","27.4","25.03","26.09","22.53","25.84","27.69","32.31","25.11","26.59","24.7","26.41","3.22","3.9","5.07","3.29","2.22","1","24.4","21.17","24.25","24.84","27.11","23.33","19.79","21.65","9.1","8.88","10.06","9.65","9.47","10.42","28.68","26.76","26.87","27.65","25.95","24.83","26.74","27.06","26.18","24.82","25.56","24.51","2.94","2.35","6.63","5.99","5.57","6.62","24.31","24.99","23.96","23.86","20.97","NA","9.89","7.37","12.33","10.54","12.22","10.96","10.98","11.04","28.41","27.85","27.32","27.18","26.75","24.92","27.85","26.44","27.43","26.91","26.73","24.83","5.35","4.87","4.79","5.51","7.19","3.68","15.36","24.74","22.56","21.72","1","20.43","23.01","15.25","13.6","11.77","14.72","12.41","11.56","13.21","15.17","25.77","28.72","26.47","21.83","25.99","25.92","26.9","26.91","26.71","23.8","26.89","5.77","6.96","5.42","5.12","4.67","3.58","22.54","27.85","20.22","22.72","10.87","2.66","17.72","9.44","16.15","11.3","16.93","15.61","15.05","15.41","27.57","25.34","1","25.98","24.32","26.04","25.46","28","25.55","26.07","24.17","26.01","9.2","8.89","8.13","7.32","8.28","7.36","20.68","23.11","45","23.62","23.16","17.17","10.28","11.61","27.1","26.93","27.47","27.14","24.01","24.33","28.27","25.11","25.45","26.34","24.96","25.35","23.76","28.43","21.04","22.55","18.37","5.96","16.67","21.51","1","23.18","26.38","24.8","23.65","24.4","30.37","26.63","26.95","27.75","26.88","11.44","20.93","20.03","18.04","23.38","1","9.28","1","23.55","26.84","30.49","28.05","26.72","27.24","29.51","27.65","27.69","27.75","27.61","1","20.63","22.72","15.09","21.37","13.41","20.22","20.85","14.68","9.31","1","28.95","31.31","25.45"
