"","X2018_8_1_plate","X2018_8_1_plate.1","X2018_8_1_plate.2","X2018_8_1_plate.3","X2018_8_1_plate.4","X2018_8_1_plate.5","X2018_8_1_plate.6","X2018_8_1_plate.7","X2018_8_1_plate.8","X2018_8_1_plate.9","X2018_8_1_plate.10","X2018_8_1_plate.11","X2018_8_1_plate.12","X2018_8_1_plate.13","X2018_8_1_plate.14","X2018_8_1_plate.15","X2018_8_1_plate.16","X2018_8_1_plate.17","X2018_8_1_plate.18","X2018_8_1_plate.19","X2018_8_1_plate.20","X2018_8_1_plate.21","X2018_8_1_plate.22","X2018_8_1_plate.23","X2018_8_1_plate.24","X2018_8_1_plate.25","X2018_8_1_plate.26","X2018_8_1_plate.27","X2018_8_1_plate.28","X2018_8_1_plate.29","X2018_8_1_plate.30","X2018_8_1_plate.31","X2018_8_1_plate.32","X2018_8_1_plate.33","X2018_8_1_plate.34","X2018_8_1_plate.35","X2018_8_1_plate.36","X2018_8_1_plate.37","X2018_8_1_plate.38","X2018_8_1_plate.39","X2018_8_1_plate.40","X2018_8_1_plate.41","X2018_8_1_plate.42","X2018_8_1_plate.43","X2018_8_1_plate.44","X2018_8_1_plate.45","X2018_8_1_plate.46","X2018_8_1_plate.47","X2018_8_1_plate.48","X2018_8_1_plate.49","X2018_8_1_plate.50","X2018_8_1_plate.51","X2018_8_1_plate.52","X2018_8_1_plate.53","X2018_8_1_plate.54","X2018_8_1_plate.55","X2018_8_1_plate.56","X2018_8_1_plate.57","X2018_8_1_plate.58","X2018_8_1_plate.59","X2018_8_1_plate.60","X2018_8_1_plate.61","X2018_8_1_plate.62","X2018_8_1_plate.63","X2018_8_1_plate.64","X2018_8_1_plate.65","X2018_8_1_plate.66","X2018_8_1_plate.67","X2018_8_1_plate.68","X2018_8_1_plate.69","X2018_8_1_plate.70","X2018_8_1_plate.71","X2018_8_1_plate.72","X2018_8_1_plate.73","X2018_8_1_plate.74","X2018_8_1_plate.75","X2018_8_1_plate.76","X2018_8_1_plate.77","X2018_8_1_plate.78","X2018_8_1_plate.79","X2018_8_1_plate.80","X2018_8_1_plate.81","X2018_8_1_plate.82","X2018_8_1_plate.83","X2018_8_1_plate.84","X2018_8_1_plate.85","X2018_8_1_plate.86","X2018_8_1_plate.87","X2018_8_1_plate.88","X2018_8_1_plate.89","X2018_8_1_plate.90","X2018_8_1_plate.91","X2018_8_1_plate.92","X2018_8_1_plate.93","X2018_8_1_plate.94","X2018_8_1_plate.95","X2018_8_1_plate.96","X2018_8_1_plate.97","X2018_8_1_plate.98","X2018_8_1_plate.99","X2018_8_1_plate.100","X2018_8_1_plate.101","X2018_8_1_plate.102","X2018_8_1_plate.103","X2018_8_1_plate.104","X2018_8_1_plate.105","X2018_8_1_plate.106","X2018_8_1_plate.107","X2018_8_1_plate.108","X2018_8_1_plate.109","X2018_8_1_plate.110","X2018_8_1_plate.111","X2018_8_1_plate.112","X2018_8_1_plate.113","X2018_8_1_plate.114","X2018_8_1_plate.115","X2018_8_1_plate.116","X2018_8_1_plate.117","X2018_8_1_plate.118","X2018_8_1_plate.119","X2018_8_1_plate.120","X2018_8_1_plate.121","X2018_8_1_plate.122","X2018_8_1_plate.123","X2018_8_1_plate.124","X2018_8_1_plate.125","X2018_8_1_plate.126","X2018_8_1_plate.127","X2018_8_1_plate.128","X2018_8_1_plate.129","X2018_8_1_plate.130","X2018_8_1_plate.131","X2018_8_1_plate.132","X2018_8_1_plate.133","X2018_8_1_plate.134","X2018_8_1_plate.135","X2018_8_1_plate.136","X2018_8_1_plate.137","X2018_8_1_plate.138","X2018_8_1_plate.139","X2018_8_1_plate.140","X2018_8_1_plate.141","X2018_8_1_plate.142","X2018_8_1_plate.143","X2018_8_1_plate.144","X2018_8_1_plate.145","X2018_8_1_plate.146","X2018_8_1_plate.147","X2018_8_1_plate.148","X2018_8_1_plate.149","X2018_8_1_plate.150","X2018_8_1_plate.151","X2018_8_1_plate.152","X2018_8_1_plate.153","X2018_8_1_plate.154","X2018_8_1_plate.155","X2018_8_1_plate.156","X2018_8_1_plate.157","X2018_8_1_plate.158","X2018_8_1_plate.159","X2018_8_1_plate.160","X2018_8_1_plate.161","X2018_8_1_plate.162","X2018_8_1_plate.163","X2018_8_1_plate.164","X2018_8_1_plate.165","X2018_8_1_plate.166","X2018_8_1_plate.167","X2018_8_1_plate.168","X2018_8_1_plate.169","X2018_8_1_plate.170","X2018_8_1_plate.171","X2018_8_1_plate.172","X2018_8_1_plate.173","X2018_8_1_plate.174","X2018_8_1_plate.175","X2018_8_1_plate.176","X2018_8_1_plate.177","X2018_8_1_plate.178","X2018_8_1_plate.179","X2018_8_1_plate.180","X2018_8_1_plate.181","X2018_8_1_plate.182","X2018_8_1_plate.183","X2018_8_1_plate.184","X2018_8_1_plate.185","X2018_8_1_plate.186","X2018_8_1_plate.187"
"1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1","test1"
"2","716","740","764","788","812","836","860","884","908","932","450","474","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","9","29","53","89","113","149","173","209","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","725","749","773","797","821","845","869","893","917","953","451","475","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","6","30","54","90","114","150","174","210","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","726","750","774","798","822","846","870","894","918","954","452","476","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","7","31","55","91","115","151","175","211","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","727","751","775","799","823","847","871","895","919","955","461","485","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","8","32","56","92","116","152","176","212","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","728","752","776","800","824","848","872","896","920","956","462","486","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","gblock+IRE_plus18IRE","17","41","77","101","137","161","197","233","737","761","785","809","833","857","881","905","929","245","463","487","18","42","78","102","138","162","198","234","738","762","786","810","834","858","882","906","930","464","488","19","43","79","103","139","163","199","235","739","763","787","811","835","859","883","907","931","473","497","20","44","80","104","140","164","200","236","NTC","NTC","NTC"
"3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","100","100","100","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.5","0.5","0.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","50","50","50","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.1","0.1","0.1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","10","10","10","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.05","0.05","0.05","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5","5","5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.01","0.01","0.01","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"4","20.4","20.22","19.4","18.97","19.64","19.12","20.07","29.81","19.41","20.14","18.87","18.85","6.91","6.83","6.95","19.97","19.32","18.67","19.1","20.71","17.66","23.76","20.12","10.73","10.58","11.42","20.2","19.46","19.13","19.88","19.06","19.18","19.87","18.88","18.11","18.36","19.1","17.23","9.21","9.03","9.9","18.63","18.83","19.48","18.91","19","19.27","20.95","18.11","12.89","11.98","12.83","20.06","20.58","19.4","19.77","18.96","18.27","18.68","18.05","19.21","18.37","20.03","18.37","7.46","8.08","7.94","19.25","21.57","19.76","19.85","22.77","21.24","18.7","16.81","13.77","12.98","14.17","19.3","19.47","20.48","18.9","19.91","17.28","19.35","19.27","19.38","17.76","17.85","19.36","9.12","9.25","8.52","18.87","20.01","16.78","19.5","18.53","18.81","11.94","15.45","15.26","14.66","16.98","21.21","19.12","19.98","19.35","18.75","18.63","19.55","19.79","18.52","18.09","18.66","19.35","10.89","10.92","10.5","18.52","18.79","22.26","19.65","18.49","18.69","12.32","16.72","19.44","19.88","20.52","19.22","18.61","19.27","21.21","19.67","18.74","19.07","19.56","18.93","19.18","23.1","17.78","18.93","18.62","18.99","16.78","16.59","21.75","20.08","19.49","19.73","19.84","18.7","22.14","20.21","20.63","19.85","20.04","18.22","19.05","18.66","19.11","18.89","16.11","15.31","17.39","1","19.95","22.36","20.33","19.81","20.11","22.68","20.51","20","20.61","20.45","17.96","18.63","19.59","19.44","17.53","18.16","17.49","17.91","36.69","36.93","37.06"
"5","19.76","18.74","17.72","17.2","18.22","17.67","18.29","27.4","18.11","18.94","17.41","17.75","3.25","3.16","3.3","18.41","17.94","16.3","17.16","19.55","15.37","22.71","18.63","7.92","7.84","8.77","18.8","18.19","17.61","18.23","17.34","17.69","18.5","17.67","16.15","16.89","17.86","14.73","4.94","4.95","5.99","16.54","17.38","17.89","16.96","18.11","18","19.36","16.42","10.46","9.25","10.33","18.36","19.13","17.65","18.74","15.66","17.25","16.4","17.11","17.75","17.55","18.59","16.76","4.16","4.84","4.58","17.75","20.06","18.36","18.55","21.29","19.86","17.21","14.8","11.3","10.66","11.88","17.79","18.49","18.93","17.91","18.73","16.35","18.13","18.09","17.93","16.61","16.15","18","5.09","5.35","4.37","17.13","18.22","13.79","17.98","16.23","17.17","9.13","12.43","12.84","12.05","15.26","20.32","17.8","19.09","18.31","16.7","17.26","18.55","19.21","16.52","16.49","17.12","17.86","8.22","8.32","7.78","16.8","16.49","19.95","17.99","16.29","16.9","9.5","14.58","17.52","18.29","19.12","17.7","16.88","18.06","19.4","18.66","17.15","18.16","17.92","17.18","17.91","21.32","15.52","17.17","16.98","18.17","15.14","14.26","19.96","18.32","18","18.41","18.37","17.21","20.72","19.05","19.48","18.57","18.98","16.31","16.98","17.16","16.83","17.4","13.56","12.38","14.77","1","18.92","21.36","19.22","18.89","19.03","21.6","19.64","19.19","19.94","19.51","17.17","16.29","17.78","18.24","15.79","16.84","16.02","16.31","33.24","34.4","35.06"
